"","x"
"1",84.9932667677018
"2",81.9482884562158
"3",78.4220604178667
"4",79.0174195055745
"5",79.7484013780883
"6",76.1285424240971
"7",81.4224374523078
"8",79.3463140474484
"9",78.1420621630198
"10",80.2589672340641
"11",80.5221214770708
"12",78.3401183313257
"13",84.2832667677017
"14",83.5782884562158
"15",81.9620604178667
"16",87.6974195055744
"17",83.5784013780883
"18",81.8385424240971
"19",85.2924374523078
"20",86.7463140474484
"21",83.8220621630198
"22",86.5889672340641
"23",87.3521214770708
"24",81.5201183313257
"25",87.5332667677017
"26",91.3482884562158
"27",85.1120604178667
"28",87.5374195055744
"29",90.5584013780883
"30",83.4885424240971
"31",85.1024374523078
"32",83.3263140474484
"33",86.0920621630198
"34",83.0989672340641
"35",83.1421214770708
"36",81.9701183313257
"37",87.2432667677018
"38",87.7682884562158
"39",83.3720604178667
"40",85.8974195055744
"41",91.8984013780883
"42",88.9585424240971
"43",99.6424374523078
"44",96.0963140474484
"45",96.3220621630198
"46",98.0689672340641
"47",95.7521214770708
"48",100.490118331326
"49",100.983266767702
"50",104.578288456216
"51",108.392060417867
"52",107.437419505574
"53",109.018401378088
"54",107.038542424097
"55",109.292437452308
"56",113.106314047448
"57",116.29206216302
"58",113.308967234064
"59",113.232121477071
"60",117.300118331326
"61",106.253266767702
"62",109.078288456216
"63",111.232060417867
"64",98.9074195055745
"65",103.678401378088
"66",103.508542424097
"67",97.7924374523078
"68",96.6863140474484
"69",94.8220621630198
"70",93.3489672340641
"71",97.6121214770708
"72",98.5201183313257
"73",95.2232667677017
"74",95.3182884562158
"75",96.3820604178667
"76",93.5174195055745
"77",94.2484013780883
"78",94.4985424240971
"79",89.8024374523078
"80",92.6063140474484
"81",92.2420621630198
"82",93.6389672340641
"83",92.4521214770708
"84",89.6701183313257
"85",95.0132667677018
"86",92.9582884562158
"87",90.9620604178667
"88",91.9674195055745
"89",90.1284013780883
"90",93.4685424240971
"91",93.4724374523078
"92",93.8863140474484
"93",97.1420621630198
"94",96.8989672340641
"95",97.3321214770708
"96",97.7101183313257
"97",95.4932667677018
"98",98.8182884562158
"99",97.2420604178667
"100",97.9074195055745
"101",97.4184013780883
"102",96.7085424240971
"103",97.8224374523078
"104",96.4863140474484
"105",98.1920621630198
"106",96.2189672340641
"107",96.0421214770708
"108",102.270118331326
"109",97.2932667677018
"110",96.5382884562158
"111",97.5820604178667
"112",98.4974195055745
"113",96.0484013780883
"114",101.198542424097
"115",100.872437452308
"116",100.176314047448
"117",103.49206216302
"118",102.058967234064
"119",103.332121477071
"120",102.930118331326
"121",104.653266767702
"122",105.818288456216
"123",108.072060417867
"124",109.857419505574
"125",107.808401378088
"126",111.698542424097
"127",109.522437452308
"128",107.376314047448
"129",114.49206216302
"130",114.188967234064
"131",109.892121477071
"132",108.900118331326
"133",109.483266767702
"134",110.058288456216
"135",117.652060417867
"136",111.037419505574
"137",113.178401378088
"138",115.338542424097
"139",110.422437452308
"140",110.856314047448
"141",114.58206216302
"142",113.858967234064
"143",112.012121477071
"144",115.830118331326
"145",114.913266767702
"146",111.728288456216
"147",113.322060417867
"148",114.967419505574
"149",107.948401378088
"150",110.088542424097
"151",105.162437452308
"152",106.096314047448
"153",102.05206216302
"154",100.998967234064
"155",96.3021214770708
"156",89.7001183313257
"157",82.8932667677017
"158",81.0982884562158
"159",78.3320604178667
"160",80.4374195055745
"161",78.9084013780883
"162",77.8285424240971
"163",81.3824374523078
"164",82.1163140474484
"165",80.5620621630198
"166",81.5189672340641
"167",84.1621214770708
"168",90.9701183313257
"169",84.7232667677017
"170",84.4882884562158
"171",86.3420604178667
"172",90.7974195055745
"173",89.7384013780883
"174",95.4285424240971
"175",90.9624374523078
"176",94.5363140474484
"177",88.3220621630198
"178",91.0989672340641
"179",97.2221214770708
"180",89.8101183313257
"181",97.0332667677017
"182",93.7482884562158
"183",95.3520604178667
"184",94.9074195055745
"185",97.1384013780883
"186",94.4585424240971
"187",94.3424374523078
"188",93.3163140474484
"189",86.6420621630198
"190",88.7389672340641
"191",88.2121214770708
